conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.976,759810119,serotonin,0.9952754974365234,serotonin,759810119,5813018460,AL(R),AL(R),17108,29978,27512,17101,29966,27517,0.976,0.991317
0.967,759810119,serotonin,0.9923080205917358,serotonin,759810119,5813024698,AL(R),AL(R),16359,31319,27519,16373,31332,27526,0.967,0.958413
0.967,759810119,serotonin,0.9923080205917358,serotonin,759810119,1704347707,AL(R),AL(R),16359,31319,27519,16354,31327,27526,0.967,0.958716
0.972,759810119,serotonin,0.9999785423278809,serotonin,759810119,5813024698,AL(R),AL(R),20761,31283,27529,20746,31290,27514,0.972,0.998375
0.978,759810119,serotonin,0.9999881982803345,serotonin,759810119,1671292719,AL(R),AL(R),19137,34812,27538,19125,34818,27530,0.978,0.963731
0.978,759810119,serotonin,0.9999881982803345,serotonin,759810119,1640909284,AL(R),AL(R),19137,34812,27538,19134,34814,27551,0.978,0.985957
0.991,759810119,serotonin,0.9997991919517517,serotonin,759810119,5813024698,AL(R),AL(R),19362,35271,27545,19375,35268,27558,0.991,0.995152
0.955,669325882,serotonin,0.9990507960319519,serotonin,669325882,1875181194,VES(R),VES(R),20720,17073,27552,20729,17054,27545,0.955,0.997988
0.955,669325882,serotonin,0.9990507960319519,serotonin,669325882,1812485095,VES(R),VES(R),20720,17073,27552,20714,17073,27545,0.955,0.987046
0.988,759810119,serotonin,0.9991220831871033,serotonin,759810119,1640909284,AL(R),AL(R),18231,31871,27634,18225,31882,27621,0.988,0.985116
0.978,759810119,serotonin,0.9997128844261169,serotonin,759810119,5813024698,,AL(R),21655,29918,27654,21670,29927,27647,0.978,0.986223
0.978,759810119,serotonin,0.9997128844261169,serotonin,759810119,1671292719,,AL(R),21655,29918,27654,21655,29928,27647,0.978,0.99974
0.971,759810119,serotonin,0.9997609257698059,serotonin,759810119,1639886198,AL(R),AL(R),19778,34184,27682,19783,34186,27670,0.971,0.990927
0.976,759810119,serotonin,0.9999009370803833,serotonin,759810119,698526273,AL(R),AL(R),20185,34190,27687,20168,34192,27694,0.976,0.991358
0.976,759810119,serotonin,0.9999009370803833,serotonin,759810119,1920629312,AL(R),AL(R),20185,34190,27687,20185,34190,27697,0.976,0.973204
0.995,759810119,serotonin,0.9976084232330322,serotonin,759810119,5813034493,AL(R),AL(R),16173,36875,27749,16163,36881,27760,0.995,0.963778
0.995,759810119,serotonin,0.9976084232330322,serotonin,759810119,1640909284,AL(R),AL(R),16173,36875,27749,16164,36886,27740,0.995,0.97875
0.995,759810119,serotonin,0.9976084232330322,serotonin,759810119,1640555311,AL(R),AL(R),16173,36875,27749,16158,36870,27740,0.995,0.96269
0.99,759810119,serotonin,0.9984654188156128,serotonin,759810119,5901206553,AL(R),AL(R),17079,29817,27798,17082,29806,27788,0.99,0.957841
0.99,759810119,serotonin,0.9984654188156128,serotonin,759810119,1640909284,AL(R),AL(R),17079,29817,27798,17067,29808,27788,0.99,0.950946
0.989,669325882,serotonin,0.9986764788627625,serotonin,669325882,5813123748,SPS(R),SPS(R),20803,12984,27877,20795,12982,27869,0.989,0.999508
0.989,669325882,serotonin,0.9986764788627625,serotonin,669325882,5812995553,SPS(R),SPS(R),20803,12984,27877,20803,12996,27869,0.989,0.997935
0.981,759810119,serotonin,0.9926181435585022,serotonin,759810119,5901206553,AL(R),AL(R),15500,32944,27889,15501,32922,27879,0.981,0.988948
0.981,759810119,serotonin,0.9926181435585022,serotonin,759810119,5813024698,AL(R),AL(R),15500,32944,27889,15512,32926,27866,0.981,0.955939
0.981,759810119,serotonin,0.9926181435585022,serotonin,759810119,1640909284,AL(R),AL(R),15500,32944,27889,15517,32935,27879,0.981,0.997017
0.988,759810119,serotonin,0.9999947547912598,serotonin,759810119,5813034493,AL(R),AL(R),18775,30762,27946,18764,30755,27949,0.988,0.974378
0.985,669325882,serotonin,0.9980220794677734,serotonin,669325882,1594286259,SPS(R),SPS(R),20633,13651,28004,20611,13648,28004,0.985,0.991638
0.985,669325882,serotonin,0.9980220794677734,serotonin,669325882,1448794542,SPS(R),SPS(R),20633,13651,28004,20626,13663,28004,0.985,0.997402
0.959,759810119,serotonin,0.9984700083732605,serotonin,759810119,5813024698,AL(R),AL(R),18738,30701,28138,18733,30725,28142,0.959,0.986528
0.962,759810119,serotonin,0.9999980926513672,serotonin,759810119,5813024698,AL(R),AL(R),17678,36051,28150,17669,36054,28161,0.962,0.993694
0.962,759810119,serotonin,0.9999980926513672,serotonin,759810119,1610530558,AL(R),AL(R),17678,36051,28150,17664,36049,28148,0.962,0.999658
0.963,759810119,serotonin,1.0,serotonin,759810119,762982753,AL(R),AL(R),21621,33778,28233,21608,33773,28227,0.963,0.951496
0.963,759810119,serotonin,1.0,serotonin,759810119,1640909284,AL(R),AL(R),21621,33778,28233,21617,33758,28227,0.963,0.951566
0.958,759810119,serotonin,0.9999897480010986,serotonin,759810119,5813024698,AL(R),AL(R),21844,34965,28288,21833,34978,28279,0.958,0.98337
0.958,759810119,serotonin,0.9999897480010986,serotonin,759810119,5813018460,AL(R),AL(R),21844,34965,28288,21830,34973,28295,0.958,0.974878
0.958,759810119,serotonin,0.9999897480010986,serotonin,759810119,1636233881,AL(R),AL(R),21844,34965,28288,21836,34957,28279,0.958,0.982005
0.952,759810119,serotonin,0.9996527433395386,serotonin,759810119,1794055377,AL(R),AL(R),19203,32551,28304,19205,32553,28289,0.952,0.95843
0.999,759810119,serotonin,0.9943853616714478,serotonin,759810119,5901206553,AL(R),AL(R),16426,32523,28306,16433,32542,28319,0.999,0.993837
0.999,759810119,serotonin,0.9943853616714478,serotonin,759810119,1640909284,AL(R),AL(R),16426,32523,28306,16436,32516,28319,0.999,0.997428
0.97,759810119,serotonin,0.9999984502792358,serotonin,759810119,5901206553,AL(R),AL(R),19360,33561,28354,19355,33548,28349,0.97,0.977566
0.97,759810119,serotonin,0.9999984502792358,serotonin,759810119,5813054725,AL(R),AL(R),19360,33561,28354,19341,33561,28345,0.97,0.997442
0.954,759810119,serotonin,0.9946225881576538,serotonin,759810119,1671292719,AL(R),AL(R),17480,30751,28386,17477,30765,28390,0.954,0.952353
0.993,759810119,serotonin,0.9929797053337097,serotonin,759810119,5813024698,AL(R),AL(R),20961,33731,28393,20969,33746,28399,0.993,0.960274
0.989,759810119,serotonin,0.999842643737793,serotonin,759810119,1825789179,AL(R),AL(R),19448,33295,28395,19465,33296,28390,0.989,0.979116
0.979,759810119,serotonin,0.9921422004699707,serotonin,759810119,1887163927,AL(R),AL(R),19391,33115,28436,19376,33115,28440,0.979,0.974251
0.959,759810119,serotonin,0.990756094455719,serotonin,759810119,1699974843,AL(R),AL(R),21851,34301,28496,21871,34304,28502,0.959,0.981426
0.959,759810119,serotonin,0.9994090795516968,serotonin,759810119,5813024698,AL(R),AL(R),22460,35410,28568,22473,35408,28554,0.959,0.97683
0.964,791527493,serotonin,0.9924069046974182,serotonin,791527493,1193953231,IPS(R),IPS(R),21185,12310,28576,21193,12324,28582,0.964,0.998774
0.979,759810119,serotonin,0.9985435009002686,serotonin,759810119,5813069085,AL(R),AL(R),18160,32958,28717,18169,32966,28722,0.979,0.998805
0.979,759810119,serotonin,0.9985435009002686,serotonin,759810119,1794055377,AL(R),AL(R),18160,32958,28717,18153,32965,28722,0.979,0.993798
0.963,759810119,serotonin,0.999725878238678,serotonin,759810119,5813024698,AL(R),AL(R),23295,33360,28770,23285,33360,28781,0.963,0.976753
0.963,759810119,serotonin,0.999725878238678,serotonin,759810119,1640572741,AL(R),AL(R),23295,33360,28770,23297,33368,28781,0.963,0.981607
0.971,759810119,serotonin,0.996034562587738,serotonin,759810119,5813024698,AL(R),AL(R),23658,30835,28817,23663,30836,28799,0.971,0.994127
0.958,791527493,serotonin,0.9939727187156677,serotonin,791527493,5813064410,SPS(R),SPS(R),22197,16702,28835,22206,16709,28844,0.958,0.966726
0.971,759810119,serotonin,0.9931507110595703,serotonin,759810119,1640909284,AL(R),AL(R),23586,31489,28890,23583,31503,28890,0.971,0.954905
0.967,759810119,serotonin,0.9984105825424194,serotonin,759810119,5901218894,AL(R),AL(R),14889,32731,28891,14899,32723,28901,0.967,0.954826
0.967,759810119,serotonin,0.9984105825424194,serotonin,759810119,5901206553,AL(R),AL(R),14889,32731,28891,14894,32707,28890,0.967,0.960034
0.967,759810119,serotonin,0.9984105825424194,serotonin,759810119,1640909284,AL(R),AL(R),14889,32731,28891,14905,32727,28890,0.967,0.97289
0.993,759810119,serotonin,0.9996836185455322,serotonin,759810119,5813024698,AL(R),AL(R),17205,29707,28920,17214,29711,28911,0.993,0.97013
0.993,759810119,serotonin,0.9996836185455322,serotonin,759810119,1671292719,AL(R),AL(R),17205,29707,28920,17213,29693,28911,0.993,0.955284
0.972,759810119,serotonin,0.9971484541893005,serotonin,759810119,2041967509,AL(R),AL(R),15402,31795,28958,15424,31791,28959,0.972,0.962381
0.977,759810119,serotonin,0.9999303817749023,serotonin,759810119,1887867926,AL(R),AL(R),20513,34397,29219,20528,34379,29211,0.977,0.962613
0.977,759810119,serotonin,0.9999303817749023,serotonin,759810119,1826121523,AL(R),AL(R),20513,34397,29219,20511,34376,29211,0.977,0.985612
0.951,759810119,serotonin,0.9984423518180847,serotonin,759810119,1640909284,AL(R),AL(R),18966,31690,29222,18974,31669,29232,0.951,0.99196
0.954,759810119,serotonin,0.9992340803146362,serotonin,759810119,1765415970,AL(R),AL(R),20375,35083,29222,20379,35093,29203,0.954,0.994097
0.951,759810119,serotonin,1.0,serotonin,759810119,1640909284,AL(R),AL(R),19157,32642,29356,19178,32637,29353,0.951,0.967141
0.978,759810119,serotonin,0.9998973608016968,serotonin,759810119,1794055377,AL(R),AL(R),17565,30983,29360,17580,30997,29359,0.978,0.988289
0.959,759810119,serotonin,0.9929144382476807,serotonin,759810119,5813077788,AL(R),AL(R),20209,29516,29361,20211,29524,29350,0.959,0.954687
0.959,759810119,serotonin,0.9929144382476807,serotonin,759810119,1856820042,AL(R),AL(R),20209,29516,29361,20202,29521,29367,0.959,0.996831
0.968,759810119,serotonin,0.9902888536453247,serotonin,759810119,1794055377,AL(R),AL(R),16345,30740,29571,16355,30733,29555,0.968,0.950453
0.988,759810119,serotonin,0.9995644688606262,serotonin,759810119,1826458709,AL(R),AL(R),18147,33133,29754,18141,33118,29756,0.988,0.999202
0.988,759810119,serotonin,0.9995644688606262,serotonin,759810119,1763728340,AL(R),AL(R),18147,33133,29754,18159,33135,29756,0.988,0.999707
0.993,759810119,serotonin,0.9999780654907227,serotonin,759810119,5813054726,AL(R),AL(R),20660,35224,29805,20664,35222,29791,0.993,0.999684
0.993,759810119,serotonin,0.9999780654907227,serotonin,759810119,5813024698,AL(R),AL(R),20660,35224,29805,20660,35245,29791,0.993,0.97881
0.971,759810119,serotonin,0.9987634420394897,serotonin,759810119,1640909284,AL(R),AL(R),19769,28776,29861,19763,28786,29852,0.971,0.998943
0.992,759810119,serotonin,0.9909628033638,serotonin,759810119,1640909284,AL(R),AL(R),13746,31736,29917,13765,31744,29919,0.992,0.951125
0.965,759810119,serotonin,0.9906933903694153,serotonin,759810119,5813024698,AL(R),AL(R),22175,35969,29920,22175,35985,29915,0.965,0.972534
0.986,759810119,serotonin,0.9998817443847656,serotonin,759810119,5813024698,AL(R),AL(R),19449,35097,29941,19464,35098,29930,0.986,0.953901
0.973,759810119,serotonin,0.9998413324356079,serotonin,759810119,5901218894,AL(R),AL(R),18702,28739,29945,18699,28730,29937,0.973,0.999893
0.973,759810119,serotonin,0.9998413324356079,serotonin,759810119,1640909284,AL(R),AL(R),18702,28739,29945,18693,28743,29937,0.973,0.999481
0.965,759810119,serotonin,0.9999927282333374,serotonin,759810119,1704347707,AL(R),AL(R),19811,33027,29951,19792,33017,29936,0.965,0.973566
0.965,759810119,serotonin,0.9999927282333374,serotonin,759810119,1640909284,AL(R),AL(R),19811,33027,29951,19805,33035,29959,0.965,0.978667
0.973,759810119,serotonin,0.9999270439147949,serotonin,759810119,5813024698,AL(R),AL(R),19300,35108,29952,19303,35097,29943,0.973,0.993373
0.973,759810119,serotonin,0.9999270439147949,serotonin,759810119,1672320134,AL(R),AL(R),19300,35108,29952,19308,35111,29943,0.973,0.991366
0.982,759810119,serotonin,0.9999997615814209,serotonin,759810119,1640909284,AL(R),AL(R),20172,29509,30120,20180,29514,30109,0.982,0.979732
0.973,759810119,serotonin,0.9907105565071106,serotonin,759810119,5901206553,AL(R),AL(R),20752,30861,30201,20755,30876,30188,0.973,0.971927
0.973,759810119,serotonin,0.9907105565071106,serotonin,759810119,5813024698,AL(R),AL(R),20752,30861,30201,20762,30865,30188,0.973,0.97062
0.973,759810119,serotonin,0.9907105565071106,serotonin,759810119,1671257931,AL(R),AL(R),20752,30861,30201,20750,30860,30188,0.973,0.976664
0.971,759810119,serotonin,0.9975710511207581,serotonin,759810119,5813024698,AL(R),AL(R),21844,35102,30237,21844,35088,30229,0.971,0.997316
0.99,759810119,serotonin,0.999599277973175,serotonin,759810119,5813024698,AL(R),AL(R),18872,28964,30240,18879,28962,30250,0.99,0.968795
0.963,791527493,serotonin,0.999897837638855,serotonin,791527493,5813075779,IPS(R),IPS(R),20540,10091,30246,20546,10090,30258,0.963,0.999711
0.963,791527493,serotonin,0.999897837638855,serotonin,791527493,5813039124,IPS(R),IPS(R),20540,10091,30246,20553,10073,30258,0.963,0.999413
0.966,759810119,serotonin,0.9996809959411621,serotonin,759810119,1640909284,AL(R),AL(R),19808,28539,30383,19813,28527,30394,0.966,0.953441
