conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.972,851459972,serotonin,0.9937525391578674,serotonin,851459972,294792311,SLP(R),SLP(R),14460,21790,4642,14471,21789,4650,0.972,0.99982
0.963,759810119,serotonin,0.9999954700469971,serotonin,759810119,327738661,SMP(L),SMP(L),34128,22335,4911,34126,22349,4904,0.963,0.981522
0.984,297230760,serotonin,0.9949435591697693,serotonin,297230760,550651224,SIP(R),SIP(R),14324,26483,5183,14329,26499,5192,0.984,0.952698
0.984,297230760,serotonin,0.9949435591697693,serotonin,297230760,266195616,SIP(R),SIP(R),14324,26483,5183,14330,26494,5169,0.984,0.967792
0.99,851459972,serotonin,0.9998055100440979,serotonin,851459972,5813002616,SMP(L),SMP(L),33491,22547,6065,33483,22552,6057,0.99,0.963554
0.977,759810119,serotonin,0.9969526529312134,serotonin,759810119,325472654,SLP(R),SLP(R),8060,20093,6332,8068,20101,6328,0.977,0.997973
0.989,759810119,serotonin,0.998985230922699,serotonin,759810119,948346463,SMP(L),SMP(L),33859,22765,6551,33860,22768,6537,0.989,0.996066
0.988,851459972,serotonin,0.9996541738510132,serotonin,851459972,5813046675,SMP(L),SMP(L),33531,22193,7394,33519,22192,7394,0.988,0.991778
0.988,851459972,serotonin,0.9996541738510132,serotonin,851459972,5813002620,SMP(L),SMP(L),33531,22193,7394,33523,22175,7394,0.988,0.986378
0.955,759810119,serotonin,0.997409999370575,serotonin,759810119,5813002690,SMP(L),SMP(L),33615,22920,7812,33593,22934,7811,0.955,0.950461
0.998,759810119,serotonin,0.9900452494621277,serotonin,759810119,510934715,LH(R),LH(R),5725,20183,8466,5737,20189,8459,0.998,0.982813
0.953,759810119,serotonin,0.9989163875579834,serotonin,759810119,574377845,LH(R),LH(R),6407,20244,8691,6397,20248,8691,0.953,0.974984
0.953,759810119,serotonin,0.9989163875579834,serotonin,759810119,574377562,LH(R),LH(R),6407,20244,8691,6408,20255,8691,0.953,0.99361
0.976,5813078603,serotonin,0.9970128536224365,serotonin,5813078603,454003707,SLP(R),SLP(R),12242,19098,8856,12227,19104,8855,0.976,0.998345
0.997,759810119,serotonin,0.9997379183769226,serotonin,759810119,5813010845,LH(R),LH(R),6134,18965,9071,6144,18951,9057,0.997,0.9595
0.992,759810119,serotonin,0.9964882135391235,serotonin,759810119,481946285,SLP(R),SLP(R),12991,16800,9460,12991,16793,9457,0.992,0.997025
0.994,1036637638,serotonin,0.9980278611183167,serotonin,1036637638,295478082,SMP(R),SMP(R),17402,20547,9464,17395,20564,9487,0.994,0.988832
0.996,1036637638,serotonin,0.9955173134803772,serotonin,1036637638,696617609,SMP(R),SMP(R),17347,22295,9497,17329,22303,9492,0.996,0.967241
0.996,1036637638,serotonin,0.9955173134803772,serotonin,1036637638,5813020696,SMP(R),SMP(R),17347,22295,9497,17341,22300,9477,0.996,0.960489
0.996,1036637638,serotonin,0.9955173134803772,serotonin,1036637638,545501062,SMP(R),SMP(R),17347,22295,9497,17337,22287,9492,0.996,0.994447
0.984,759810119,serotonin,0.9996060729026794,serotonin,759810119,668772585,SMP(L),SMP(L),33483,21706,9586,33485,21696,9604,0.984,0.987446
0.997,851459972,serotonin,0.9973452687263489,serotonin,851459972,327499164,LH(R),LH(R),5581,18032,9693,5578,18021,9696,0.997,0.989511
0.992,851459972,serotonin,0.992385745048523,serotonin,851459972,294760837,LH(R),LH(R),7423,18010,9722,7433,18004,9720,0.992,0.983893
0.984,759810119,serotonin,0.9995973706245422,serotonin,759810119,667474054,LH(R),LH(R),5779,20269,9767,5779,20281,9771,0.984,0.977611
0.965,851459972,serotonin,0.9914564490318298,serotonin,851459972,606703734,SMP(L),SMP(L),33110,21187,9831,33116,21186,9823,0.965,0.989819
0.982,759810119,serotonin,0.995596706867218,serotonin,759810119,424716408,LH(R),LH(R),5625,17014,9856,5620,16994,9856,0.982,0.955865
0.976,541697718,serotonin,0.9954580068588257,serotonin,541697718,5813020812,SLP(R),SLP(R),7469,16214,9866,7465,16217,9873,0.976,0.970705
0.966,759810119,serotonin,0.9908607006072998,serotonin,759810119,480258208,LH(R),LH(R),7541,19662,9942,7549,19654,9945,0.966,0.998654
0.988,759810119,serotonin,0.9966541528701782,serotonin,759810119,604429310,LH(R),LH(R),7646,18530,10037,7648,18539,10027,0.988,0.980511
0.988,759810119,serotonin,0.9966541528701782,serotonin,759810119,386825636,LH(R),LH(R),7646,18530,10037,7662,18537,10027,0.988,0.961959
0.988,759810119,serotonin,0.9966541528701782,serotonin,759810119,356467849,LH(R),LH(R),7646,18530,10037,7637,18535,10048,0.988,0.990942
0.96,851459972,serotonin,0.9917080998420715,serotonin,851459972,698452781,SMP(L),SMP(L),32824,20316,10498,32820,20330,10500,0.96,0.99082
0.985,759810119,serotonin,0.9992017149925232,serotonin,759810119,327499164,LH(R),LH(R),4925,16318,10758,4923,16316,10773,0.985,0.999296
0.97,851459972,serotonin,0.9952421188354492,serotonin,851459972,5813087551,LH(R),LH(R),6251,17087,11037,6264,17087,11032,0.97,0.998891
0.986,851459972,serotonin,0.9941685199737549,serotonin,851459972,604726283,LH(R),LH(R),6212,17179,11154,6201,17179,11159,0.986,0.951893
0.978,1036637638,serotonin,0.9994159936904907,serotonin,1036637638,5813020673,SMP(R),SMP(R),20485,18460,11172,20483,18467,11160,0.978,0.986905
0.962,851459972,serotonin,0.9933066964149475,serotonin,851459972,417186656,LH(R),LH(R),6468,17121,11265,6473,17126,11268,0.962,0.987347
0.985,919763043,serotonin,0.9989805817604065,serotonin,919763043,728460284,ATL(L),ATL(L),33844,18451,11296,33836,18456,11303,0.985,0.966567
0.97,759810119,serotonin,0.9960009455680847,serotonin,759810119,5813083717,LH(R),LH(R),6707,16770,11319,6715,16762,11315,0.97,0.981715
0.968,759810119,serotonin,0.9947444200515747,serotonin,759810119,5812981379,CA(R),CA(R),13846,15526,11337,13827,15536,11329,0.968,0.988621
0.968,759810119,serotonin,0.9947444200515747,serotonin,759810119,425790257,CA(R),CA(R),13846,15526,11337,13845,15545,11329,0.968,0.997726
0.976,759810119,serotonin,0.9976656436920166,serotonin,759810119,358515278,SLP(R),SLP(R),9337,15833,11364,9344,15821,11368,0.976,0.960639
0.976,759810119,serotonin,0.9976656436920166,serotonin,759810119,356503889,SLP(R),SLP(R),9337,15833,11364,9337,15828,11347,0.976,0.992384
0.971,541697718,serotonin,0.9934170246124268,serotonin,541697718,480997558,SLP(R),SLP(R),7438,15850,11494,7421,15848,11495,0.971,0.995976
0.993,759810119,serotonin,0.9985682964324951,serotonin,759810119,425790257,CA(R),CA(R),10661,13996,11561,10667,13987,11550,0.993,0.984302
0.972,759810119,serotonin,0.9944217801094055,serotonin,759810119,419548541,LH(R),LH(R),5673,16226,11838,5667,16214,11838,0.972,0.998106
0.973,759810119,serotonin,0.9938378930091858,serotonin,759810119,360578625,LH(R),LH(R),4491,16952,11981,4494,16941,11972,0.973,0.952041
0.973,759810119,serotonin,0.9938378930091858,serotonin,759810119,327499164,LH(R),LH(R),4491,16952,11981,4500,16948,11984,0.973,0.997219
0.995,851459972,serotonin,0.9999594688415527,serotonin,851459972,573695941,LH(R),LH(R),4659,15707,12566,4654,15705,12577,0.995,0.993651
0.99,919763043,serotonin,0.9960721731185913,serotonin,919763043,787563949,SMP(L),SMP(L),34159,18573,12617,34168,18573,12608,0.99,0.999051
0.99,919763043,serotonin,0.9960721731185913,serotonin,919763043,729815690,SMP(L),SMP(L),34159,18573,12617,34157,18562,12608,0.99,0.987137
0.994,759810119,serotonin,0.9998421669006348,serotonin,759810119,1734420152,LH(R),LH(R),7691,17564,12868,7694,17581,12861,0.994,0.988582
0.983,759810119,serotonin,0.9955134987831116,serotonin,759810119,514375643,LH(R),LH(R),7629,20226,13657,7644,20211,13669,0.983,0.996106
0.984,759810119,serotonin,0.997438907623291,serotonin,759810119,980198319,LH(R),LH(R),4370,21201,15474,4363,21211,15485,0.984,0.965755
0.967,541697718,serotonin,0.9911830425262451,serotonin,541697718,1035454539,PLP(R),PLP(R),5613,14673,15632,5599,14673,15622,0.967,0.99827
0.967,541697718,serotonin,0.9911830425262451,serotonin,541697718,5813053827,PLP(R),PLP(R),5613,14673,15632,5619,14656,15633,0.967,0.995323
0.991,541697718,serotonin,0.9941596984863281,serotonin,541697718,665820084,PLP(R),PLP(R),5700,15354,16727,5696,15363,16741,0.991,0.990263
0.996,541697718,serotonin,0.9938502311706543,serotonin,541697718,390331214,PLP(R),PLP(R),6873,15802,18654,6856,15803,18648,0.996,0.975601
0.983,669325882,serotonin,0.9960363507270813,serotonin,669325882,5813060781,PLP(R),PLP(R),13797,13283,19713,13803,13267,19718,0.983,0.964117
0.99,791527493,serotonin,0.9911624193191528,serotonin,791527493,5813064410,PLP(R),PLP(R),11295,13584,21194,11292,13594,21185,0.99,0.966079
0.969,791527493,serotonin,0.998542308807373,serotonin,791527493,1375242214,SPS(R),SPS(R),19636,12774,21872,19629,12758,21868,0.969,0.97576
0.969,791527493,serotonin,0.998542308807373,serotonin,791527493,1375224269,SPS(R),SPS(R),19636,12774,21872,19621,12777,21870,0.969,0.992834
0.956,791527493,serotonin,0.9938347339630127,serotonin,791527493,1069351982,IB,IB,23933,12553,22032,23915,12541,22018,0.956,0.957858
0.977,669325882,serotonin,0.9997918009757996,serotonin,669325882,488922181,IB,IB,22891,12348,22495,22879,12357,22493,0.977,0.998208
0.973,791527493,serotonin,0.9910764694213867,serotonin,791527493,1350034937,IB,IB,23490,11849,22600,23476,11855,22596,0.973,0.994382
0.987,669325882,serotonin,0.9999533891677856,serotonin,669325882,731176276,IB,IB,28811,12740,22807,28811,12753,22796,0.987,0.999594
0.983,669325882,serotonin,0.9998258948326111,serotonin,669325882,5813071320,IB,IB,20656,12340,22861,20663,12356,22862,0.983,0.989966
0.956,669325882,serotonin,0.9975576400756836,serotonin,669325882,1561925676,IB,IB,29018,12733,22893,29023,12732,22879,0.956,0.973401
0.964,791527493,serotonin,0.9932315349578857,serotonin,791527493,1449618949,SPS(R),SPS(R),19007,16516,22983,19016,16518,22977,0.964,0.999883
0.964,791527493,serotonin,0.9932315349578857,serotonin,791527493,1223499592,SPS(R),SPS(R),19007,16516,22983,19012,16505,22977,0.964,0.98153
0.964,791527493,serotonin,0.9932315349578857,serotonin,791527493,1038338266,SPS(R),SPS(R),19007,16516,22983,18996,16495,22977,0.964,0.995899
0.954,669325882,serotonin,0.9975639581680298,serotonin,669325882,1528395505,SPS(R),SPS(R),19591,10498,23023,19588,10487,23021,0.954,0.975039
0.963,669325882,serotonin,0.9997889399528503,serotonin,669325882,1283173461,SPS(R),SPS(R),20748,10173,23030,20756,10165,23034,0.963,0.989613
0.977,669325882,serotonin,0.9990748167037964,serotonin,669325882,1127924395,SPS(R),SPS(R),20964,10333,23141,20976,10321,23141,0.977,0.99431
0.97,669325882,serotonin,0.9995716214179993,serotonin,669325882,1313879738,IB,IB,22457,11582,23141,22453,11593,23133,0.97,0.983124
0.968,669325882,serotonin,0.9999898672103882,serotonin,669325882,5813071320,SPS(R),SPS(R),19557,10193,23164,19559,10179,23152,0.968,0.951319
0.954,791527493,serotonin,0.9940863847732544,serotonin,791527493,768301391,SPS(R),SPS(R),22742,15032,23512,22738,15018,23500,0.954,0.991493
0.954,791527493,serotonin,0.9940863847732544,serotonin,791527493,737218956,SPS(R),SPS(R),22742,15032,23512,22753,15021,23518,0.954,0.999977
0.978,669325882,serotonin,0.9991857409477234,serotonin,669325882,1744966885,SPS(R),SPS(R),19077,8958,23516,19081,8953,23526,0.978,0.960857
0.978,669325882,serotonin,0.9991857409477234,serotonin,669325882,1559102509,SPS(R),SPS(R),19077,8958,23516,19090,8949,23516,0.978,0.960963
0.981,669325882,serotonin,0.994951605796814,serotonin,669325882,1502217925,SPS(R),SPS(R),19348,15952,23538,19349,15937,23548,0.981,0.985596
0.981,669325882,serotonin,0.994951605796814,serotonin,669325882,1501384741,SPS(R),SPS(R),19348,15952,23538,19356,15940,23532,0.981,0.988614
0.951,791527493,serotonin,0.9999927282333374,serotonin,791527493,675490017,SPS(R),SPS(R),23395,15089,23633,23388,15098,23631,0.951,0.953556
0.956,669325882,serotonin,0.9998806715011597,serotonin,669325882,1621509312,SPS(R),SPS(R),19480,9452,23646,19467,9452,23665,0.956,0.994151
0.952,759810119,serotonin,0.9904081225395203,serotonin,759810119,2041621893,AL(R),AL(R),17122,33956,23676,17130,33971,23666,0.952,0.999416
0.985,759810119,serotonin,0.9999592304229736,serotonin,759810119,5813024698,AL(R),AL(R),18517,32937,23700,18516,32927,23712,0.985,0.995246
0.985,759810119,serotonin,0.9999592304229736,serotonin,759810119,5813018460,AL(R),AL(R),18517,32937,23700,18514,32944,23712,0.985,0.996961
0.976,669325882,serotonin,0.995749831199646,serotonin,669325882,5813038347,SPS(L),SPS(L),29084,15453,23717,29086,15441,23707,0.976,0.995583
0.976,669325882,serotonin,0.995749831199646,serotonin,669325882,1502234873,SPS(L),SPS(L),29084,15453,23717,29080,15468,23707,0.976,0.981152
0.99,759810119,serotonin,0.9962582588195801,serotonin,759810119,5813034531,AL(R),AL(R),18513,33689,23757,18519,33685,23764,0.99,0.999144
0.956,759810119,serotonin,0.999934196472168,serotonin,759810119,1640909284,AL(R),AL(R),19182,33709,23798,19182,33724,23799,0.956,0.977913
0.986,759810119,serotonin,0.9984961748123169,serotonin,759810119,5901218894,AL(R),AL(R),18246,32518,23803,18238,32532,23806,0.986,0.966181
0.986,759810119,serotonin,0.9984961748123169,serotonin,759810119,5813024698,AL(R),AL(R),18246,32518,23803,18233,32525,23791,0.986,0.998005
0.986,759810119,serotonin,0.9984961748123169,serotonin,759810119,1670264761,AL(R),AL(R),18246,32518,23803,18253,32533,23806,0.986,0.97193
0.983,759810119,serotonin,0.9997939467430115,serotonin,759810119,5813024698,AL(R),AL(R),17410,32196,23891,17418,32173,23884,0.983,0.987339
0.968,759810119,serotonin,0.9999964237213135,serotonin,759810119,5813024698,AL(R),AL(R),18935,32032,23920,18929,32033,23909,0.968,0.953643
0.968,759810119,serotonin,0.9999964237213135,serotonin,759810119,1640572741,AL(R),AL(R),18935,32032,23920,18935,32015,23909,0.968,0.991555
0.978,759810119,serotonin,0.9942016005516052,serotonin,759810119,5813054777,AL(R),AL(R),16728,33702,24005,16729,33716,23996,0.978,0.985598
0.951,669325882,serotonin,0.9955713152885437,serotonin,669325882,912601209,SPS(L),SPS(L),27866,15432,24047,27873,15426,24062,0.951,0.969158
0.951,669325882,serotonin,0.9955713152885437,serotonin,669325882,5813061218,SPS(L),SPS(L),27866,15432,24047,27873,15441,24062,0.951,0.999507
0.963,669325882,serotonin,0.9955587387084961,serotonin,669325882,5813022257,SPS(L),SPS(L),27784,15551,24065,27778,15565,24058,0.963,0.99241
0.977,669325882,serotonin,0.9999953508377075,serotonin,669325882,792045391,SPS(R),SPS(R),19867,15763,24079,19881,15773,24087,0.977,0.993399
0.977,669325882,serotonin,0.9999953508377075,serotonin,669325882,5813015153,SPS(R),SPS(R),19867,15763,24079,19864,15766,24087,0.977,0.999103
0.982,759810119,serotonin,0.999705970287323,serotonin,759810119,1640909284,AL(R),AL(R),22501,32665,24105,22509,32666,24081,0.982,0.993749
0.984,669325882,serotonin,0.9991387128829956,serotonin,669325882,1695178970,SPS(L),SPS(L),31114,16092,24124,31120,16083,24116,0.984,0.999999
0.983,791527493,serotonin,0.996720016002655,serotonin,791527493,1290961410,SPS(R),SPS(R),22053,16072,24134,22055,16076,24118,0.983,0.979198
0.957,759810119,serotonin,0.9999953508377075,serotonin,759810119,1733025401,AL(R),AL(R),19055,33621,24187,19044,33628,24186,0.957,0.99604
0.957,759810119,serotonin,0.9999953508377075,serotonin,759810119,1704347707,AL(R),AL(R),19055,33621,24187,19055,33621,24204,0.957,0.998678
0.993,669325882,serotonin,0.9959143996238708,serotonin,669325882,1697185831,SPS(L),SPS(L),32411,16975,24280,32411,16984,24270,0.993,0.993679
0.976,669325882,serotonin,0.999998927116394,serotonin,669325882,1378090884,SPS(L),SPS(L),29432,14519,24292,29428,14511,24285,0.976,0.999988
0.996,759810119,serotonin,0.9994939565658569,serotonin,759810119,1704347707,AL(R),AL(R),17399,33804,24312,17374,33809,24326,0.996,0.956201
0.984,669325882,serotonin,0.999583899974823,serotonin,669325882,1471337698,SPS(R),SPS(R),19621,13139,24355,19623,13131,24367,0.984,1.0
0.984,669325882,serotonin,0.999583899974823,serotonin,669325882,1223499592,SPS(R),SPS(R),19621,13139,24355,19620,13124,24346,0.984,0.983379
0.967,759810119,serotonin,0.9937775135040283,serotonin,759810119,5813132949,AL(R),AL(R),18081,33101,24368,18075,33109,24375,0.967,0.989215
0.98,759810119,serotonin,0.999932050704956,serotonin,759810119,1670287030,AL(R),AL(R),21524,31696,24417,21521,31710,24414,0.98,0.998104
0.96,759810119,serotonin,0.997389018535614,serotonin,759810119,1704347707,AL(R),AL(R),22269,32730,24494,22258,32723,24504,0.96,0.998155
0.96,759810119,serotonin,0.997389018535614,serotonin,759810119,1640909284,AL(R),AL(R),22269,32730,24494,22272,32730,24504,0.96,0.999436
0.984,791527493,serotonin,0.9996801614761353,serotonin,791527493,728666990,SPS(R),SPS(R),22801,15255,24501,22801,15258,24490,0.984,0.999747
0.984,791527493,serotonin,0.9996801614761353,serotonin,791527493,1346718982,SPS(R),SPS(R),22801,15255,24501,22780,15250,24490,0.984,0.996183
0.993,669325882,serotonin,0.9908626079559326,serotonin,669325882,1534176395,SPS(R),SPS(R),20477,15302,24597,20487,15297,24607,0.993,0.977242
0.993,669325882,serotonin,0.9908626079559326,serotonin,669325882,1347979604,SPS(R),SPS(R),20477,15302,24597,20493,15296,24591,0.993,0.951395
0.986,791527493,serotonin,0.9920458793640137,serotonin,791527493,5901225755,SPS(R),SPS(R),19000,11700,24622,19008,11701,24611,0.986,0.998813
0.965,759810119,serotonin,0.9993795156478882,serotonin,759810119,1858171556,AL(R),AL(R),20052,30677,24629,20068,30660,24641,0.965,0.959205
0.965,759810119,serotonin,0.9993795156478882,serotonin,759810119,1671292719,AL(R),AL(R),20052,30677,24629,20061,30679,24619,0.965,0.977107
0.957,759810119,serotonin,0.9995288848876953,serotonin,759810119,5813056598,AL(R),AL(R),19955,30520,24715,19976,30523,24720,0.957,0.973261
0.957,759810119,serotonin,0.9995288848876953,serotonin,759810119,1858171556,AL(R),AL(R),19955,30520,24715,19960,30535,24720,0.957,0.962976
0.996,759810119,serotonin,0.9999995231628418,serotonin,759810119,5813024698,AL(R),AL(R),17616,36101,24724,17617,36106,24733,0.996,0.987063
0.954,791527493,serotonin,0.9935356378555298,serotonin,791527493,5812992005,SPS(R),SPS(R),21701,15536,24728,21699,15521,24723,0.954,0.993126
0.988,759810119,serotonin,0.9946528673171997,serotonin,759810119,1946178096,AL(R),AL(R),18201,32194,24770,18206,32182,24776,0.988,0.998848
0.979,669325882,serotonin,0.9953548908233643,serotonin,669325882,1130424306,SPS(R),SPS(R),22284,15632,24788,22301,15634,24797,0.979,0.983631
0.959,759810119,serotonin,0.9999606609344482,serotonin,759810119,5901206553,AL(R),AL(R),19333,31583,24798,19323,31589,24807,0.959,0.965537
0.952,669325882,serotonin,0.9987586736679077,serotonin,669325882,1747794162,SPS(L),SPS(L),29479,12817,24843,29479,12811,24834,0.952,0.992277
0.986,759810119,serotonin,0.9993127584457397,serotonin,759810119,5813024698,AL(R),AL(R),17717,32920,24889,17724,32913,24873,0.986,0.999357
0.976,791527493,serotonin,0.9947487711906433,serotonin,791527493,1098776577,SPS(L),SPS(L),31733,14122,24903,31719,14135,24914,0.976,0.995433
0.987,759810119,serotonin,0.9962900876998901,serotonin,759810119,1946178096,AL(R),AL(R),15783,32885,24936,15795,32902,24946,0.987,0.957528
0.987,759810119,serotonin,0.9962900876998901,serotonin,759810119,1671638278,AL(R),AL(R),15783,32885,24936,15795,32880,24946,0.987,0.967446
0.98,759810119,serotonin,0.9945259094238281,serotonin,759810119,5813024698,AL(R),AL(R),20395,30544,24946,20392,30548,24959,0.98,0.99769
0.952,759810119,serotonin,0.9954849481582642,serotonin,759810119,5813018460,AL(R),AL(R),18216,30878,24992,18222,30891,24998,0.952,0.995725
0.959,759810119,serotonin,0.9998898506164551,serotonin,759810119,1640909284,AL(R),AL(R),22642,28694,25003,22634,28681,24997,0.959,0.986128
0.965,759810119,serotonin,0.991890549659729,serotonin,759810119,542634818,AL(R),AL(R),21694,33347,25027,21704,33360,25025,0.965,0.971965
0.983,759810119,serotonin,0.9979264736175537,serotonin,759810119,1671257931,AL(R),AL(R),17123,33469,25041,17125,33486,25043,0.983,0.959659
0.983,759810119,serotonin,0.9979264736175537,serotonin,759810119,1640909284,AL(R),AL(R),17123,33469,25041,17108,33476,25043,0.983,0.997055
0.972,791527493,serotonin,0.9953497052192688,serotonin,791527493,1130424306,SPS(R),SPS(R),22441,15380,25045,22448,15388,25052,0.972,0.998357
0.97,759810119,serotonin,0.9999923706054688,serotonin,759810119,574037266,AL(R),AL(R),18768,35852,25061,18772,35838,25050,0.97,0.983626
0.986,791527493,serotonin,0.9942871928215027,serotonin,791527493,1656027753,SPS(L),SPS(L),28376,13057,25063,28370,13046,25032,0.986,0.978742
0.988,759810119,serotonin,0.9999877214431763,serotonin,759810119,1642623277,AL(R),AL(R),19151,30985,25072,19135,30990,25079,0.988,0.989607
0.959,759810119,serotonin,0.9999886751174927,serotonin,759810119,1640909284,AL(R),AL(R),18054,35832,25177,18049,35847,25193,0.959,0.973553
0.971,669325882,serotonin,0.9999500513076782,serotonin,669325882,5812993457,SPS(R),SPS(R),20953,11336,25211,20953,11343,25206,0.971,0.99092
0.98,791527493,serotonin,0.9958034157752991,serotonin,791527493,1559102509,SPS(R),SPS(R),19904,10467,25221,19895,10471,25230,0.98,0.970088
0.98,791527493,serotonin,0.9958034157752991,serotonin,791527493,1374960533,SPS(R),SPS(R),19904,10467,25221,19908,10471,25230,0.98,0.954503
0.992,669325882,serotonin,0.9956349730491638,serotonin,669325882,1501392572,SPS(R),SPS(R),19977,14312,25230,19973,14317,25218,0.992,0.999807
0.976,759810119,serotonin,0.9931418299674988,serotonin,759810119,542634818,AL(R),AL(R),21127,29942,25267,21141,29943,25254,0.976,0.996074
0.993,759810119,serotonin,0.999996542930603,serotonin,759810119,5813024698,AL(R),AL(R),17112,33568,25356,17097,33561,25348,0.993,0.960895
0.974,791527493,serotonin,0.999762237071991,serotonin,791527493,1316945065,SPS(R),SPS(R),20273,15184,25396,20279,15184,25385,0.974,0.985298
0.958,759810119,serotonin,0.9995773434638977,serotonin,759810119,1640909284,AL(R),AL(R),18371,34451,25412,18371,34433,25410,0.958,0.98385
0.987,759810119,serotonin,0.9999874830245972,serotonin,759810119,5813024698,AL(R),AL(R),21044,32212,25416,21054,32232,25405,0.987,0.97947
0.987,759810119,serotonin,0.9999874830245972,serotonin,759810119,1640909284,AL(R),AL(R),21044,32212,25416,21044,32208,25405,0.987,0.997423
0.981,759810119,serotonin,0.9977132081985474,serotonin,759810119,5813034493,AL(R),AL(R),21023,32173,25434,21029,32158,25425,0.981,0.996852
0.981,759810119,serotonin,0.9977132081985474,serotonin,759810119,1640909284,AL(R),AL(R),21023,32173,25434,21017,32169,25425,0.981,0.998028
0.995,759810119,serotonin,0.9999575614929199,serotonin,759810119,5813018460,AL(R),AL(R),17094,31396,25448,17097,31420,25454,0.995,0.974122
0.997,759810119,serotonin,0.996460497379303,serotonin,759810119,5813024698,AL(R),AL(R),17446,32540,25461,17443,32557,25463,0.997,0.957396
0.997,759810119,serotonin,0.996460497379303,serotonin,759810119,1671257931,AL(R),AL(R),17446,32540,25461,17427,32540,25463,0.997,0.976433
0.983,759810119,serotonin,0.9999669790267944,serotonin,759810119,5813024698,AL(R),AL(R),20146,35290,25475,20134,35274,25481,0.983,0.994348
0.983,759810119,serotonin,0.9999669790267944,serotonin,759810119,1605198915,AL(R),AL(R),20146,35290,25475,20155,35281,25481,0.983,0.997012
0.98,759810119,serotonin,0.9999972581863403,serotonin,759810119,5813024710,AL(R),AL(R),15290,32342,25513,15292,32322,25522,0.98,0.983935
0.98,759810119,serotonin,0.9999972581863403,serotonin,759810119,1640572741,AL(R),AL(R),15290,32342,25513,15300,32326,25503,0.98,0.976005
0.973,669325882,serotonin,0.9999071359634399,serotonin,669325882,1716249528,PLP(R),PLP(R),10846,14290,25517,10830,14300,25511,0.973,0.984603
0.995,759810119,serotonin,0.9981348514556885,serotonin,759810119,5813034493,AL(R),AL(R),17988,31044,25554,17990,31038,25541,0.995,0.970946
0.967,759810119,serotonin,0.9996696710586548,serotonin,759810119,1640572741,AL(R),AL(R),18932,31735,25573,18935,31739,25555,0.967,0.967835
0.962,759810119,serotonin,0.9999254941940308,serotonin,759810119,1825789179,AL(R),AL(R),20791,35587,25579,20790,35597,25568,0.962,0.952699
0.954,759810119,serotonin,0.9999535083770752,serotonin,759810119,1670045635,AL(R),AL(R),19249,33974,25582,19240,33992,25580,0.954,0.967105
0.954,759810119,serotonin,0.9999535083770752,serotonin,759810119,1640594274,AL(R),AL(R),19249,33974,25582,19261,33961,25570,0.954,0.979734
0.979,759810119,serotonin,1.0,serotonin,759810119,1640909284,AL(R),AL(R),18736,32117,25605,18727,32121,25613,0.979,0.972937
0.954,791527493,serotonin,0.9946335554122925,serotonin,791527493,5813034263,SPS(R),SPS(R),20681,10320,25624,20668,10315,25641,0.954,0.996956
0.972,759810119,serotonin,0.9975540041923523,serotonin,759810119,5813018460,AL(R),AL(R),18352,35168,25691,18331,35165,25695,0.972,0.980891
0.99,759810119,serotonin,0.9999929666519165,serotonin,759810119,5813024698,AL(R),AL(R),19287,33176,25703,19294,33173,25691,0.99,0.969325
0.997,791527493,serotonin,0.992883563041687,serotonin,791527493,1717968338,PLP(R),PLP(R),14407,15856,25724,14410,15864,25705,0.997,0.976727
0.997,791527493,serotonin,0.992883563041687,serotonin,791527493,1375242214,PLP(R),PLP(R),14407,15856,25724,14427,15861,25726,0.997,0.96685
0.974,669325882,serotonin,0.999988317489624,serotonin,669325882,915503330,SPS(R),SPS(R),19926,15699,25751,19934,15707,25744,0.974,0.999624
0.956,759810119,serotonin,0.9992590546607971,serotonin,759810119,5813024698,AL(R),AL(R),23166,28440,25810,23151,28449,25816,0.956,0.959575
0.956,759810119,serotonin,0.9992590546607971,serotonin,759810119,1701947337,AL(R),AL(R),23166,28440,25810,23153,28448,25799,0.956,0.969413
0.975,669325882,serotonin,0.9902570247650146,serotonin,669325882,5813079574,SPS(L),SPS(L),28269,15356,25815,28277,15344,25808,0.975,0.998481
0.991,759810119,serotonin,0.9999995231628418,serotonin,759810119,1640909284,AL(R),AL(R),18374,33814,25852,18393,33807,25853,0.991,0.996769
0.953,759810119,serotonin,0.9994193315505981,serotonin,759810119,1640572741,AL(R),AL(R),21846,28285,25853,21839,28307,25856,0.953,0.957143
0.962,759810119,serotonin,0.9997609257698059,serotonin,759810119,5813024698,AL(R),AL(R),23000,30302,25887,23004,30293,25897,0.962,0.977988
0.984,759810119,serotonin,0.9969106316566467,serotonin,759810119,5813018460,AL(R),AL(R),17453,33314,25900,17448,33307,25882,0.984,0.961958
0.984,759810119,serotonin,0.9969106316566467,serotonin,759810119,1640909284,AL(R),AL(R),17453,33314,25900,17442,33301,25891,0.984,0.994267
0.975,759810119,serotonin,0.9977074861526489,serotonin,759810119,5813018460,AL(R),AL(R),14736,31531,25926,14729,31514,25918,0.975,0.979774
0.987,759810119,serotonin,0.999909520149231,serotonin,759810119,5813024698,AL(R),AL(R),16753,35336,25948,16743,35320,25947,0.987,0.992635
