neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron3,0.993,294436967,dopamine,0.9059969782829285,dopamine,294436967,5813009391,SLP(R),SLP(R),12217,21148,5925,12205,21152,5918,0.993,0.994798
neuron3,0.964,294436967,dopamine,0.7124424576759338,dopamine,294436967,484014387,SLP(R),SLP(R),6928,25325,7025,6944,25327,7037,0.964,0.994342
neuron3,0.958,294436967,dopamine,0.9996811151504517,dopamine,294436967,388954086,SLP(R),SLP(R),15095,21216,6858,15097,21220,6886,0.958,0.974498
neuron3,0.974,294436967,dopamine,0.6837454438209534,dopamine,294436967,326542980,SIP(R),SIP(R),15532,22165,6818,15531,22182,6814,0.974,0.991967
neuron3,0.994,294436967,dopamine,0.7315651178359985,dopamine,294436967,425790257,SLP(R),SLP(R),12243,17648,9472,12243,17659,9474,0.994,0.997979
neuron3,0.97,294436967,dopamine,0.8892973065376282,dopamine,294436967,296514350,SLP(R),SLP(R),14854,21838,6151,14863,21847,6162,0.97,0.979569
neuron3,0.998,294436967,dopamine,0.536517322063446,dopamine,294436967,295443136,SLP(R),SLP(R),11297,19640,7955,11306,19635,7950,0.998,0.959791
neuron3,0.994,294436967,dopamine,0.8686180114746094,dopamine,294436967,480664837,SLP(R),SLP(R),14241,19068,8644,14243,19082,8652,0.994,0.998496
neuron3,0.986,294436967,dopamine,0.5489428043365479,dopamine,294436967,388881226,SLP(R),SLP(R),11599,18798,6952,11606,18791,6956,0.986,0.974068
neuron3,0.98,294436967,dopamine,0.9052553176879883,dopamine,294436967,295107330,SLP(R),SLP(R),7245,22506,5420,7252,22510,5414,0.98,0.999484
neuron3,0.994,294436967,dopamine,0.6992002725601196,dopamine,294436967,295132437,SLP(R),SLP(R),14135,21082,4461,14133,21082,4449,0.994,0.953104
neuron4,0.982,486315287,dopamine,0.3442661762237549,dopamine,486315287,1132846376,FB,FB,26447,20526,16042,26436,20530,16056,0.982,0.973393
neuron4,0.996,486315287,dopamine,0.4719473719596863,dopamine,486315287,892376720,SMP(L),SMP(L),29672,29940,14250,29667,29940,14261,0.996,0.992149
neuron4,0.998,486315287,dopamine,0.8553298115730286,dopamine,486315287,1111762690,CRE(L),CRE(L),33411,29212,18077,33411,29228,18081,0.998,0.999773
neuron4,0.97,486315287,dopamine,0.616523027420044,dopamine,486315287,5813111563,FB,FB,20201,25338,20937,20200,25344,20926,0.97,0.977198
neuron4,0.956,486315287,dopamine,0.6734154224395752,dopamine,486315287,859735285,CRE(L),CRE(L),31880,28492,20407,31875,28478,20406,0.956,0.959957
neuron4,0.958,486315287,dopamine,0.8669481873512268,dopamine,486315287,5813058442,FB,FB,22873,23102,17823,22872,23095,17833,0.958,0.997121
neuron4,0.956,486315287,dopamine,0.6984496116638184,dopamine,486315287,952166828,FB,FB,28117,22232,17483,28134,22239,17483,0.956,0.979251
neuron4,0.99,486315287,dopamine,0.8936358690261841,dopamine,486315287,388954086,CRE(L),CRE(L),33018,29160,19198,33002,29165,19200,0.99,0.997425
neuron4,0.956,486315287,dopamine,0.6984496116638184,dopamine,486315287,1069766271,FB,FB,28117,22232,17483,28121,22248,17483,0.956,0.980836
neuron4,0.97,486315287,dopamine,0.7588019967079163,dopamine,486315287,1132846376,FB,FB,23109,19605,16245,23094,19591,16254,0.97,0.979197
neuron4,0.975,486315287,dopamine,0.7002875208854675,dopamine,486315287,362715189,FB,FB,27097,23058,17152,27093,23053,17140,0.975,0.999947
neuron4,0.97,486315287,dopamine,0.6148852109909058,dopamine,486315287,362715189,FB,FB,23805,19829,16284,23807,19844,16293,0.97,0.998059
neuron4,0.984,486315287,dopamine,0.4663149118423462,dopamine,486315287,1195632413,FB,FB,29843,20930,18490,29855,20922,18493,0.984,0.97752
neuron4,0.962,486315287,dopamine,0.6196434497833252,dopamine,486315287,1132488293,FB,FB,22975,19537,16436,22993,19538,16437,0.962,0.963398
